word,meaning,meaning_vi,phonetics,note,example,type,level
scientist,"a person who studies one or more of the natural sciences (= for example, physics, chemistry or biology)",nhà khoa học (khoa học tự nhiên),/ˈsaɪəntɪst/,"a person who studies one or more of the natural sciences (= for example, physics, chemistry or biology)",My uncle is a scientist.,noun,A1
sea,the salt water that covers most of the earth’s surface and surrounds its continents and islands,biển,/siː/,the salt water that covers most of the earth’s surface and surrounds its continents and islands,The waste was dumped in the sea.,noun,A1
second,happening or coming next after the first in a series of similar things or people; 2nd,"thứ nhì, thứ hai",/ˈsekənd/,happening or coming next after the first in a series of similar things or people; 2nd,This is the second time it's happened.,"determiner, ordinal number",A1
see,to become aware of somebody/something by using your eyes,"nhìn, thấy",/siː/,to become aware of somebody/something by using your eyes,She looked for him but couldn't see him in the crowd.,verb,A1
sell,to give something to somebody in exchange for money,bán,/sel/,to give something to somebody in exchange for money,I'm going to sell my old car to make some extra money.,verb,A1
send,"to make something go or be taken to a place, especially by post, email, radio, etc.","gửi, sai, phái",/send/,"to make something go or be taken to a place, especially by post, email, radio, etc.",She will send the report to the client by email.,verb,A1
sentence,"a set of words expressing a statement, a question or an order, usually containing a subject and a verb. In written English sentences begin with a capital letter and end with a full stop/period (.), a question mark (?) or an exclamation mark (!).",(ngôn ngữ học) câu,/ˈsentəns/,"a set of words expressing a statement, a question or an order, usually containing a subject and a verb. In written English sentences begin with a capital letter and end with a full stop/period (.), a question mark (?) or an exclamation mark (!).",Does the sentence contain an adverb?,noun,A1
seventeen,the number 17,số mười bảy,/ˌsevnˈtiːn/,the number 17,Seventeen is the seventh prime number.,number,A1
share,to have part of something while another person or other people also have part,"chia, chia sẻ, phân chia, phân phối, phân cho",/ʃeə(r)/,to have part of something while another person or other people also have part,He shared the pie with her.,verb,A1
sheep,"an animal with a thick coat, kept on farms for its meat (called mutton or lamb) or its wool",con cừu,/ʃiːp/,"an animal with a thick coat, kept on farms for its meat (called mutton or lamb) or its wool",The sheep were grazing in the meadow.,noun,A1
shirt,"a piece of clothing (usually for men), worn on the upper part of the body, made of light cloth, with sleeves and usually with a collar and buttons down the front",áo sơ mi,/ʃɜːt/,"a piece of clothing (usually for men), worn on the upper part of the body, made of light cloth, with sleeves and usually with a collar and buttons down the front",He spilled coffee on his favorite shirt and had to change before the meeting.,noun,A1
shoe,one of a pair of objects usually made of leather or plastic that you wear on your feet,giày,/ʃuː/,one of a pair of objects usually made of leather or plastic that you wear on your feet,I need to buy a new pair of running shoes.,noun,A1
shop,a building or part of a building where you can buy goods or services,"cửa hàng, cửa hiệu",/ʃɒp/,a building or part of a building where you can buy goods or services,I'm going to the shop to buy some groceries.,noun,A1
shopping,the activity of going to shops and buying things or ordering them online,sự mua sắm,/ˈʃɒpɪŋ/,the activity of going to shops and buying things or ordering them online,"I don't enjoy shopping for clothes, but I have to buy a new outfit for the wedding.",noun,A1
short,"measuring or covering a small length or distance, or a smaller length or distance than usual",ngắn,/ʃɔːt/,"measuring or covering a small length or distance, or a smaller length or distance than usual",He had short curly hair.,adjective,A1
should,"used to show what is right, appropriate, etc., especially when criticizing somebody’s actions",nên (làm gì),/ʃəd/ /ʃʊd/,"used to show what is right, appropriate, etc., especially when criticizing somebody’s actions",You should do exercises every day.,modal verb,A1
show,"a theatre performance, especially one that includes singing and dancing","cuộc biểu diễn, cuộc trình diễn",/ʃəʊ/,"a theatre performance, especially one that includes singing and dancing",I'm excited to see the new show that just opened on Broadway.,noun,A1
shower,a device that releases drops of water through a lot of very small holes and that you stand under to wash your whole body,vòi hoa sen,/ˈʃaʊə(r)/,a device that releases drops of water through a lot of very small holes and that you stand under to wash your whole body,The shower is broken - you'll have to have a bath.,noun,A1
sick,physically or mentally ill,"ốm, đau",/sɪk/,physically or mentally ill,I feel sick after work.,adjective,A1
similar,like somebody/something but not exactly the same,"giống nhau, tương tự",/ˈsɪmələ(r)/,like somebody/something but not exactly the same,We have very similar interests.,adjective,A1
sing,"to make musical sounds with the voice, usually a tune with words",hát,/sɪŋ/,"to make musical sounds with the voice, usually a tune with words",Let's sing together.,verb,A1
singer,"a person who sings, or whose job is singing, especially in public","người hát, ca sĩ",/ˈsɪŋə(r)/,"a person who sings, or whose job is singing, especially in public",She's a wonderful singer.,noun,A1
sister,a girl or woman who has the same mother and father as another person,"chị, em gái",/ˈsɪstə(r)/,a girl or woman who has the same mother and father as another person,She's my sister.,noun,A1
sit,"to rest your weight on your bottom with your back straight, for example on/in a chair",ngồi,/sɪt/,"to rest your weight on your bottom with your back straight, for example on/in a chair",Can I sit here next to you?,verb,A1
situation,all the circumstances and things that are happening at a particular time and in a particular place,"tình thế, tình hình, tình huống",/ˌsɪtʃuˈeɪʃn/,all the circumstances and things that are happening at a particular time and in a particular place,Her news put me in a difficult situation.,noun,A1
skill,a particular ability or type of ability,kỹ năng,/skɪl/,a particular ability or type of ability,Playing an instrument is a skill that requires practice.,noun,A1
skirt,a piece of clothing for a woman or girl that hangs from the middle part of the body,chân váy,/skɜːt/,a piece of clothing for a woman or girl that hangs from the middle part of the body,She wore a pretty floral skirt to the party.,noun,A1
sleep,to rest with your eyes closed and your mind and body not active,ngủ,/sliːp/,to rest with your eyes closed and your mind and body not active,I need to get a good night's sleep before my big presentation tomorrow.,verb,A1
slow,"not moving, acting or done quickly; taking a long time; not fast","chậm, chậm chạp",/sləʊ/,"not moving, acting or done quickly; taking a long time; not fast",Traffic is moving really slow today.,adjective,A1
small,"not large in size, number, degree, amount, etc.","nhỏ, bé",/smɔːl/,"not large in size, number, degree, amount, etc.",I live in a small apartment in the city.,adjective,A1
snake,a reptile with a very long thin body and no legs,con rắn,/sneɪk/,a reptile with a very long thin body and no legs,I'm afraid of snakes and always avoid them when I'm hiking in the mountains.,noun,A1
snow,small soft white pieces (called flakes) of frozen water that fall from the sky in cold weather; this substance when it is lying on the ground,tuyết,/snəʊ/,small soft white pieces (called flakes) of frozen water that fall from the sky in cold weather; this substance when it is lying on the ground,Snow was falling heavily.,noun,A1
some,"used with uncountable nouns or plural countable nouns to mean ‘an amount of’ or ‘a number of’, when the amount or number is not given","một ít, một vài",/sʌm/,"used with uncountable nouns or plural countable nouns to mean ‘an amount of’ or ‘a number of’, when the amount or number is not given",There's still some wine in the bottle.,determiner,A1
somebody,a person who is not known or mentioned by name,"người nào đó, ai đó",/ˈsʌmbədi/,a person who is not known or mentioned by name,Somebody should have told me.,pronoun,A1
someone,a person who is not known or mentioned by name,(như somebody) người nào đó,/ˈsʌmwʌn/,a person who is not known or mentioned by name,There's someone at the door.,pronoun,A1
something,a thing that is not known or mentioned by name,cái gì đó; điều gì đó,/ˈsʌmθɪŋ/,a thing that is not known or mentioned by name,We stopped for something to eat.,pronoun,A1
sometimes,occasionally rather than all of the time,"đôi khi, đôi lúc; thỉnh thoảng",/ˈsʌmtaɪmz/,occasionally rather than all of the time,Sometimes I go by car.,adverb,A1
son,a person’s male child,con trai,/sʌn/,a person’s male child,I have two sons and one daughter.,noun,A1
song,a short piece of music with words that you sing,"bài hát, bài ca",/sɒŋ/,a short piece of music with words that you sing,I can't stop humming that catchy song!,noun,A1
soon,in a short time from now; a short time after something else has happened,"chẳng bao lâu nữa, chẳng mấy chốc nữa, sớm thôi",/suːn/,in a short time from now; a short time after something else has happened,She sold the house soon after her husband died.,adverb,A1
sorry,expresses feelings of regret or sorrow for having done something wrong or having caused harm to someone or something,"xin lỗi, buồn tiếc, hối tiếc",/ˈsɒri/,expresses feelings of regret or sorrow for having done something wrong or having caused harm to someone or something,"I'm sorry I can't come to the party, I have to work late.",adjective,A1
sound,something that you can hear or that can be heard,"âm thanh, tiếng",/saʊnd/,something that you can hear or that can be heard,The sound of the waves crashing against the shore was so soothing.,noun,A1
soup,"a liquid food made by boiling meat, vegetables, etc. in water, often eaten as the first course of a meal","súp, canh",/suːp/,"a liquid food made by boiling meat, vegetables, etc. in water, often eaten as the first course of a meal",I always crave a hot bowl of soup on a cold winter day.,noun,A1
south,the direction that is on your right when you watch the sun rise; one of the four main points of the compass,"phương nam, hướng nam, phía nam",/saʊθ/,the direction that is on your right when you watch the sun rise; one of the four main points of the compass,Which way is south?,noun,A1
space,the area outside the earth’s atmosphere where all the other planets and stars are,"không gian, vũ trụ",/speɪs/,the area outside the earth’s atmosphere where all the other planets and stars are,Valentina Tereshkova was the first woman in space.,noun,A1
speak,to talk to somebody about something; to have a conversation with somebody,"nói, nói chuyện",/spiːk/,to talk to somebody about something; to have a conversation with somebody,The President refused to speak to reporters.,verb,A1
special,not ordinary or usual; different from what is normal,đặc biệt,/ˈspeʃl/,not ordinary or usual; different from what is normal,The school will only allow this in special circumstances.,adjective,A1
spell,to form a word or words with the letters in the correct order,đánh vần,/spel/,to form a word or words with the letters in the correct order,How do you spell your name?,verb,A1
spelling,the act of forming words correctly from individual letters; the ability to do this,"chính tả, khả năng viết chính tả, cách đánh vần một từ",/ˈspelɪŋ/,the act of forming words correctly from individual letters; the ability to do this,My computer has a program which corrects my spelling.,noun,A1
spend,"to give money to pay for goods, services, etc.","tiêu, chi tiêu (tiền)",/spend/,"to give money to pay for goods, services, etc.",I've spent all my money already.,verb,A1
sport,"activity that you do for pleasure and that needs physical effort or skill, usually done in a special area and according to fixed rules",thể thao,/spɔːt/,"activity that you do for pleasure and that needs physical effort or skill, usually done in a special area and according to fixed rules",There are excellent facilities for sport and recreation.,noun,A1
spring,the season between winter and summer when plants begin to grow,mùa xuân,/sprɪŋ/,the season between winter and summer when plants begin to grow,"The following spring, the three artists travelled to California.",noun,A1
stand,to be on your feet; to be in a vertical position,đứng,/stænd/,to be on your feet; to be in a vertical position,She was too weak to stand.,verb,A1
star,a large ball of burning gas in space that we see as a point of light in the sky at night,"ngôi sao, tinh tú",/stɑː(r)/,a large ball of burning gas in space that we see as a point of light in the sky at night,There was a big moon and hundreds of stars were shining overhead.,noun,A1
start,to begin doing or using something,bắt đầu,/stɑːrt/,to begin doing or using something,I start work at nine.,verb,A1
statement,something that you say or write that gives information or an opinion,"sự tuyên bố, lời tuyên bố",/ˈsteɪtmənt/,something that you say or write that gives information or an opinion,The government is expected to issue a statement about the investigation to the press.,noun,A1
station,a place where trains stop so that passengers can get on and off; the buildings connected with this,nhà ga,/ˈsteɪʃn/,a place where trains stop so that passengers can get on and off; the buildings connected with this,I'll be waiting for you at the train station when you arrive.,noun,A1
stay,to continue to be in a particular place for a period of time without moving away,"ở lại, ở",/steɪ/,to continue to be in a particular place for a period of time without moving away,Stay there and don't move!,verb,A1
still,"an adverb that indicates the continuation of a state, action, or condition without change, interruption, or movement","vẫn còn, vẫn",/stɪl/,"an adverb that indicates the continuation of a state, action, or condition without change, interruption, or movement",I am very happy that you all are still alive and well.,adverb,A1
stop,to no longer move; to make somebody/something no longer move,"ngừng, ngưng; dừng",/stɒp/,to no longer move; to make somebody/something no longer move,The car stopped at the traffic lights.,verb,A1
story,a description of events and people that the writer or speaker has invented in order to entertain people,câu chuyện; truyện,/ˈstɔːri/,a description of events and people that the writer or speaker has invented in order to entertain people,She told me an interesting story about her trip to Europe.,noun,A1
street,a public road in a city or town that has houses and buildings on one side or both sides,"đường phố, phố",/striːt/,a public road in a city or town that has houses and buildings on one side or both sides,I was just walking along the street when it happened.,noun,A1
student,a person who is studying at a university or college,sinh viên,/ˈstjuːdnt/,a person who is studying at a university or college,The student stayed up all night studying for the exam.,noun,A1
study,"learning or gaining knowledge, either from books or by examining things in the world","học tập, nghiên cứu",/ˈstʌdi/,"learning or gaining knowledge, either from books or by examining things in the world",I study English every day.,verb,A1
style,"a way of doing something, especially one that is typical of a person, group of people, place, or period",phong cách,/staɪl/,"a way of doing something, especially one that is typical of a person, group of people, place, or period","His office is very utilitarian in style, with no decoration.",noun,A1
subject,"an area of knowledge that is studied in school, college, or university",môn học,/ˈsʌbdʒɪkt/ /ˈsʌbdʒekt/,"an area of knowledge that is studied in school, college, or university",My favourite subject is English.,noun,A1
success,the fact that you have achieved something that you want and have been trying to do or get,thành công,/səkˈses/,the fact that you have achieved something that you want and have been trying to do or get,The company has achieved considerable success in this market.,noun,A1
sugar,"a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking or to make tea, coffee, etc. sweeter",đường (ăn),/ˈʃʊɡə(r)/,"a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking or to make tea, coffee, etc. sweeter",Do you take sugar in your coffee?,noun,A1
summer,"the warmest season of the year, coming between spring and autumn","mùa hè, mùa hạ",/ˈsʌmə(r)/,"the warmest season of the year, coming between spring and autumn",We're going away in the summer.,noun,A1
sun,the star that shines in the sky during the day and gives the earth heat and light,mặt trời; vầng thái dương,/sʌn/,the star that shines in the sky during the day and gives the earth heat and light,The sun was shining and birds were singing.,noun,A1
supermarket,"a large shop that sells food, drinks and goods used in the home. People choose what they want from the shelves and pay for it as they leave.",siêu thị,/ˈsuːpəmɑːkɪt/,"a large shop that sells food, drinks and goods used in the home. People choose what they want from the shelves and pay for it as they leave.",I only shop at this supermarket.,noun,A1
sure,confident that you know something or that you are right,"chắc rằng, chắc chắn, đảm bảo",/ʃʊə(r)/ /ʃɔː(r)/,confident that you know something or that you are right,"""Is that John over there?"" - ""I'm not sure"".",adjective,A1
sweater,"a piece of clothing for the upper part of the body, made of wool or cotton, with long sleeves",áo len chui đầu; áo len (dài tay),/ˈswetə(r)/,"a piece of clothing for the upper part of the body, made of wool or cotton, with long sleeves",She wore jeans and a sweater.,noun,A1
swim,"to move through water by moving your arms and legs, without touching the bottom",bơi lội,/swɪm/,"to move through water by moving your arms and legs, without touching the bottom",I can't swim.,verb,A1
swimming,the sport or activity of swimming,"sự bơi, bơi lội",/ˈswɪmɪŋ/,the sport or activity of swimming,Swimming is a good form of exercise.,noun,A1
table,a piece of furniture that consists of a flat top supported by legs,cái bàn,/ˈteɪbl/,a piece of furniture that consists of a flat top supported by legs,We sat at a round table in the corner.,noun,A1
take,to carry or move something from one place to another,"mang, cầm, nắm, giữ, lấy",/teɪk/,to carry or move something from one place to another,Remember to take your coat when you leave.,verb,A1
talk,"to say things; to speak in order to give information or to express feelings, ideas, etc.","nói, nói chuyện",/tɔːk/,"to say things; to speak in order to give information or to express feelings, ideas, etc.",Stop talking and listen!,verb,A1
tall,having a greater than average height,cao,/tɔːl/,having a greater than average height,She's tall and thin.,adjective,A1
taxi,a car with a driver that you pay to take you somewhere. Taxis usually have meters that show how much money you have to pay.,xe tắc xi,/ˈtæksi/,a car with a driver that you pay to take you somewhere. Taxis usually have meters that show how much money you have to pay.,We took a taxi to the airport.,noun,A1
tea,the dried leaves (called tea leaves) of the tea bush,"chè, trà",/tiː/,the dried leaves (called tea leaves) of the tea bush,I drink a cup of tea every morning.,noun,A1
teach,"to give lessons to students in a school, college, university, etc.; to help somebody learn something by giving information about it",dạy học,/tiːtʃ/,"to give lessons to students in a school, college, university, etc.; to help somebody learn something by giving information about it",She teaches at our local school.,verb,A1
teacher,"a person whose job is teaching, especially in a school",giáo viên,/ˈtiːtʃə(r)/,"a person whose job is teaching, especially in a school",The teacher graded the students' assignments over the weekend.,noun,A1
team,a group of people who play a particular game or sport against another group of people,"đội, nhóm",/tiːm/,a group of people who play a particular game or sport against another group of people,The basketball team won the championship for the third year in a row.,noun,A1
teenager,a person who is between 13 and 19 years old,thanh thiếu niên,/ˈtiːneɪdʒə(r)/,a person who is between 13 and 19 years old,My neighbor's teenager loves playing loud music in their room.,noun,A1
telephone,"a system for talking to somebody else over long distances, using wires or radio; a machine used for this",điện thoại,/ˈtelɪfəʊn/,"a system for talking to somebody else over long distances, using wires or radio; a machine used for this",The telephone rang and Pat answered it.,noun,A1
television,a piece of electrical equipment with a screen on which you can watch programmes with moving pictures and sounds,"truyền hình, vô tuyến truyền hình, ti vi",/ˈtelɪvɪʒn/,a piece of electrical equipment with a screen on which you can watch programmes with moving pictures and sounds,Is there anything good on television tonight?,noun,A1
tell,to give information to somebody by speaking or writing,"nói, nói với; nói lên, nói ra",/tel/,to give information to somebody by speaking or writing,Can you please tell me what time the meeting starts?,verb,A1
tennis,a game in which two or four players use rackets to hit a ball backwards and forwards across a net on a specially marked court,quần vợt,/ˈtenɪs/,a game in which two or four players use rackets to hit a ball backwards and forwards across a net on a specially marked court,My father always plays tennis with his friends after work.,noun,A1
terrible,"very unpleasant; making you feel very unhappy, upset or frightened","khủng khiếp, kinh khủng",/ˈterəbl/,"very unpleasant; making you feel very unhappy, upset or frightened",I had a terrible headache all day yesterday.,adjective,A1
test,"an examination of somebody’s knowledge or ability, consisting of questions for them to answer or activities for them to perform",bài kiểm tra,/test/,"an examination of somebody’s knowledge or ability, consisting of questions for them to answer or activities for them to perform",The class are having a spelling test today.,noun,A1
text,a text message,"văn bản (tin nhắn, tài liệu)",/tekst/,a text message,The text from my boss said that the meeting had been rescheduled.,noun,A1
theatre,a building or an outdoor area where plays and similar types of entertainment are performed,"nhà hát, rạp hát",/ˈθɪətə(r)/,a building or an outdoor area where plays and similar types of entertainment are performed,I'm looking forward to watching a play at the theatre tonight.,noun,A1
thing,"an object whose name you do not use because you do not need to or want to, or because you do not know it","đồ, thứ, điều, việc, món",/θɪŋ/,"an object whose name you do not use because you do not need to or want to, or because you do not know it",Can you pass me that thing over there?,noun,A1
think,to have a particular idea or opinion about something/somebody; to believe something,"nghĩ, suy nghĩ",/θɪŋk/,to have a particular idea or opinion about something/somebody; to believe something,Do you really think that he'll win?,verb,A1
third,3rd,"thứ ba (về thứ tự), ngày mùng 3",/θɜːd/,3rd,Today is the third of May.,ordinal number,A1
thirsty,needing or wanting to drink,khát (nước),/ˈθɜːsti/,needing or wanting to drink,We were hungry and thirsty.,adjective,A1
thirteen,the number 13,số mười ba,/ˌθɜːˈtiːn/,the number 13,The number thirteen is often considered unlucky.,number,A1
thirty,the number 30,số ba mươi,/ˈθɜːti/,the number 30,I have a meeting scheduled for thirty minutes from now.,undefined,A1
thousand,1 000,nghìn,/ˈθaʊznd/,1 000,There were thousands of people there.,number,A1
through,from one end or side of something/somebody to the other,"qua, xuyên qua",/θruː/,from one end or side of something/somebody to the other,The burglar got in through the window.,preposition,A1
ticket,"a printed piece of paper, or a message or image received on your phone or computer, that gives you the right to travel on a particular bus, train, etc. or to go into a theatre, etc.","vé, thẻ",/ˈtɪkɪt/,"a printed piece of paper, or a message or image received on your phone or computer, that gives you the right to travel on a particular bus, train, etc. or to go into a theatre, etc.",I need to buy a ticket to see the movie tonight.,noun,A1
time,"what is measured in minutes, hours, days, etc.",thời gian,/taɪm/,"what is measured in minutes, hours, days, etc.",The world exists in time and space.,noun,A1
tired,feeling that you would like to sleep or rest; needing rest,mệt mỏi,/ˈtaɪəd/,feeling that you would like to sleep or rest; needing rest,She looks tired today.,adjective,A1
title,"the name of a book, poem, painting, piece of music, etc.","đầu đề, nhan đề (tên cuốn sách, bài thơ, bức tranh..)",/ˈtaɪtl/,"the name of a book, poem, painting, piece of music, etc.",What's title of her new book?,noun,A1
today,on this day,(trong ngày) hôm nay,/təˈdeɪ/,on this day,I've got a piano lesson later today.,adverb,A1
together,with or near to somebody/something else; with each other,"cùng, cùng nhau",/təˈɡeðə(r)/,with or near to somebody/something else; with each other,We grew up together.,adverb,A1
toilet,a large bowl attached to a pipe that you sit on or stand over when you get rid of waste matter from your body,"nhà vệ sinh, bồn cầu",/ˈtɔɪlət/,a large bowl attached to a pipe that you sit on or stand over when you get rid of waste matter from your body,"Excuse me, could you tell me where the nearest toilet is?",noun,A1
tomato,a soft fruit with a lot of juice and shiny red skin that is eaten as a vegetable either raw or cooked,"quả cà chua, cây cà chua",/təˈmɑːtəʊ/,a soft fruit with a lot of juice and shiny red skin that is eaten as a vegetable either raw or cooked,I love to add fresh tomato slices to my sandwich.,noun,A1
tomorrow,on or during the day after today,"ngày mai, mai",/təˈmɒrəʊ/,on or during the day after today,I'm off now. See you tomorrow.,adverb,A1
tonight,on or during the evening or night of today,"đêm nay, tối nay",/təˈnaɪt/,on or during the evening or night of today,Will you have dinner with me tonight?,adverb,A1
tooth,any of the hard white structures in the mouth used for biting food,răng (1 chiếc),/tuːθ/,any of the hard white structures in the mouth used for biting food,I've just had a tooth out at the dentist's.,noun,A1
topic,"a subject that you talk, write or learn about","đề tài, chủ đề",/ˈtɒpɪk/,"a subject that you talk, write or learn about",The main topic of conversation was Tom's new girlfriend.,noun,A1
tourist,a person who is travelling or visiting a place for pleasure,"khách du lịch, du khách",/ˈtʊərɪst/ /ˈtɔːrɪst/,a person who is travelling or visiting a place for pleasure,The city center is always crowded with tourists taking pictures.,noun,A1
town,"a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city.",thị trấn,/taʊn/,"a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city.",The nearest town is ten miles away.,noun,A1
traffic,the vehicles that are on a road at a particular time,giao thông,/ˈtræfɪk/,the vehicles that are on a road at a particular time,There are currently delays of 40 minutes due to heavy traffic.,noun,A1
train,"a number of connected coaches or trucks, pulled by an engine or powered by a motor in each one, taking people and goods from one place to another","tàu lửa, tàu hỏa",/treɪn/,"a number of connected coaches or trucks, pulled by an engine or powered by a motor in each one, taking people and goods from one place to another",I prefer taking the train instead of driving on long trips.,noun,A1
travel,"to go from one place to another, especially over a long distance","đi xa, du hành, đi du lịch",/ˈtrævl/,"to go from one place to another, especially over a long distance",I go to bed early if I'm travelling the next day.,verb,A1
tree,"a tall plant that can live a long time. Trees have a thick central wooden trunk from which branches grow, usually with leaves on them",cây,/triː/,"a tall plant that can live a long time. Trees have a thick central wooden trunk from which branches grow, usually with leaves on them",I sat under a tree to read my book and relax.,noun,A1
trip,"a journey to a place and back again, especially a short one for pleasure or a particular purpose","chuyến du ngoạn, chuyến đi",/trɪp/,"a journey to a place and back again, especially a short one for pleasure or a particular purpose",Did you have a good trip?,noun,A1
trousers,a piece of clothing that covers the lower body and is divided into two parts to cover each leg separately,quần dài,/ˈtraʊzəz/,a piece of clothing that covers the lower body and is divided into two parts to cover each leg separately,He forgot to bring his trousers to the dry cleaners.,noun,A1
true,connected with facts rather than things that have been invented or guessed,"thật, thực, đúng, xác thực",/truː/,connected with facts rather than things that have been invented or guessed,Indicate whether the following statements are true or false.,adjective,A1
try,to make an attempt or effort to do or get something,"thử, cố gắng",/traɪ/,to make an attempt or effort to do or get something,I don't know if I can come but I'll try.,verb,A1
turn,to move or make something move around a central point,"xoay, quay, rẽ, quay hướng",/tɜːn/,to move or make something move around a central point,"Go straight ahead and turn left, the restaurant is on your right!",verb,A1
twenty,the number 20,số hai mươi,/ˈtwenti/,the number 20,She is about twenty.,undefined,A1
twice,two times; on two occasions,hai lần,/twaɪs/,two times; on two occasions,I don't know him well; I've only met him twice.,adverb,A1
type,"having the qualities or features of the group, person or thing mentioned","kiểu, loại",/taɪp/,"having the qualities or features of the group, person or thing mentioned",What type of music do you enjoy listening to?,noun,A1
umbrella,"an object with a round folding frame of long, straight pieces of metal covered with material, that you use to protect yourself from the rain or from hot sun","ô, dù, lọng",/ʌmˈbrelə/,"an object with a round folding frame of long, straight pieces of metal covered with material, that you use to protect yourself from the rain or from hot sun","Don't forget to bring your umbrella, it's supposed to rain today.",noun,A1
uncle,the brother of your mother or father; the husband of your aunt,"bác, chú, cậu",/ˈʌŋkl/,the brother of your mother or father; the husband of your aunt,My uncle is a doctor.,noun,A1
under,"in, to or through a position that is below something",dưới,/ˈʌndə(r)/,"in, to or through a position that is below something",The cat was hiding under the bed during the thunderstorm.,preposition,A1
understand,"to know or realize the meaning of words, a language, what somebody says, etc.",hiểu,/ˌʌndəˈstænd/,"to know or realize the meaning of words, a language, what somebody says, etc.",Can you understand French?,verb,A1
university,an institution at the highest level of education where you can study for a degree or do research,trường đại học,/ˌjuːnɪˈvɜːsəti/,an institution at the highest level of education where you can study for a degree or do research,Is there a university in this town?,noun,A1
until,up to the point in time or the event mentioned,"trước khi, cho đến khi",/ənˈtɪl/,up to the point in time or the event mentioned,Let's wait until the rain stops.,"conjunction, preposition",A1
useful,that can help you to do or achieve what you want,"có ích, hữu ích",/ˈjuːsfl/,that can help you to do or achieve what you want,My new laptop has been very useful for work and school.,adjective,A1
usually,in the way that is usual or normal; most often,"thường xuyên, thông thường",/ˈjuːʒuəli/ /ˈjuːʒəli/,in the way that is usual or normal; most often,How long does the journey usually take?,adverb,A1
vacation,a period of time spent travelling or resting away from home,"ngày nghỉ, kỳ nghỉ",/veɪˈkeɪʃn/ /vəˈkeɪʃn/,a period of time spent travelling or resting away from home,They're on vacation in Hawaii right now.,noun,A1
vegetable,"a plant or part of a plant that is eaten as food. Potatoes, beans and onions are all vegetables.",rau củ,/ˈvedʒtəbl/,"a plant or part of a plant that is eaten as food. Potatoes, beans and onions are all vegetables.",The children don't eat enough fresh vegetables.,noun,A1
very,"used before adjectives, adverbs and determiners to mean ‘in a high degree’ or ‘extremely’","rất, lắm",/ˈveri/,"used before adjectives, adverbs and determiners to mean ‘in a high degree’ or ‘extremely’",Very few people know that.,adverb,A1
video,"a system of recording moving pictures and sound, either using a digital method of storing data or (in the past) using videotape","băng ghi hình, vi-deo",/ˈvɪdiəʊ/,"a system of recording moving pictures and sound, either using a digital method of storing data or (in the past) using videotape",A wedding is the perfect subject for video.,noun,A1
village,a very small town located in a country area,"làng, xã",/ˈvɪlɪdʒ/,a very small town located in a country area,We visited towns and villages all over Spain.,noun,A1
visit,to go to see a person or a place for a period of time,"đi thăm, đến thăm",/ˈvɪzɪt/,to go to see a person or a place for a period of time,My parents are coming to visit me next week.,verb,A1
visitor,a person who visits a person or place,"khách, người đến thăm",/ˈvɪzɪtə(r)/,a person who visits a person or place,We've got visitors coming this weekend.,noun,A1
wait,to stay where you are or delay doing something until somebody/something comes or something happens,"chờ, đợi, chờ đợi",/weɪt/,to stay where you are or delay doing something until somebody/something comes or something happens,She rang the bell and waited.,verb,A1
waiter,"a man whose job is to serve customers at their tables in a restaurant, etc.","người phục vụ, bồi bàn nam",/ˈweɪtə(r)/,"a man whose job is to serve customers at their tables in a restaurant, etc.",I'll ask the waiter for the bill.,noun,A1
wake,to stop sleeping; to make somebody stop sleeping,"thức dậy, tỉnh dậy",/weɪk/,to stop sleeping; to make somebody stop sleeping,I always wake early in the summer.,verb,A1
walk,"to move or go somewhere by putting one foot in front of the other on the ground, but without running","đi, đi bộ, cuốc bộ",/wɔːk/,"to move or go somewhere by putting one foot in front of the other on the ground, but without running",The baby is just learning to walk.,verb,A1
wall,"a long, solid structure that rises straight up from the ground, made of stone, brick or concrete, that surrounds, divides or protects an area of land","tường, bức tường",/wɔːl/,"a long, solid structure that rises straight up from the ground, made of stone, brick or concrete, that surrounds, divides or protects an area of land",She hung a beautiful painting on the wall.,noun,A1
want,to have a desire or a wish for something/somebody,muốn,/wɒnt/,to have a desire or a wish for something/somebody,Do you want some more tea?,verb,A1
warm,"at a fairly high temperature in a way that is pleasant, rather than being hot or cold","ấm, ấm áp",/wɔːm/,"at a fairly high temperature in a way that is pleasant, rather than being hot or cold",I love snuggling up with a warm blanket on a chilly evening.,adjective,A1
wash,to make something/somebody clean using water and usually soap,"rửa, giặt",/wɒʃ/,to make something/somebody clean using water and usually soap,These jeans need washing.,verb,A1
watch,"to look at somebody/something for a time, paying attention to what happens","xem, theo dõi, quan sát",/wɒtʃ/,"to look at somebody/something for a time, paying attention to what happens"," I was in the living room, watching TV.",verb,A1
water,"a liquid without colour, smell or taste that falls as rain, is in lakes, rivers and seas, and is used for drinking, washing, etc.",nước,/ˈwɔːtər/,"a liquid without colour, smell or taste that falls as rain, is in lakes, rivers and seas, and is used for drinking, washing, etc.",I drink 2 bottles of water every day.,noun,A1
way,a route or road that you take in order to reach a place,"đường, lối đi",/weɪ/,a route or road that you take in order to reach a place,"Could you show me the way to the nearest post office, please?",noun,A1
